"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2488","test_empty_credentials_shows_error","tests.e2e","2026-07-01","passed","2026-07-01","TestLoginValidation","test_login_e2e","",""
"","606","test_login_endpoint_options","tests.api","2026-07-01","passed","2026-07-01","TestLoginAPI","test_login_api","",""
"","583","test_login_page_status_code","tests.api","2026-07-01","passed","2026-07-01","TestLoginAPI","test_login_api","",""
"","3865","test_first_visit_shows_no_global_error","tests.e2e","2026-07-01","failed","2026-07-01","TestLoginPageUI","test_login_e2e","",""
"","586","test_login_endpoint_post_empty_payload","tests.api","2026-07-01","passed","2026-07-01","TestLoginAPI","test_login_api","",""
"","2859","test_login_page_title","tests.e2e","2026-07-01","passed","2026-07-01","TestLoginPageUI","test_login_e2e","",""
"","3804","test_login_page_loads","tests.e2e","2026-07-01","passed","2026-07-01","TestLoginPageUI","test_login_e2e","",""
"","578","test_login_endpoint_post_invalid_payload","tests.api","2026-07-01","passed","2026-07-01","TestLoginAPI","test_login_api","",""
"","2471","test_invalid_email_format","tests.e2e","2026-07-01","passed","2026-07-01","TestLoginValidation","test_login_e2e","",""
"","2376","test_username_field_is_visible","tests.e2e","2026-07-01","passed","2026-07-01","TestLoginPageUI","test_login_e2e","",""
"","2618","test_forgot_password_link_is_present","tests.e2e","2026-07-01","passed","2026-07-01","TestLoginValidation","test_login_e2e","",""
"","2704","test_submit_button_is_visible","tests.e2e","2026-07-01","passed","2026-07-01","TestLoginPageUI","test_login_e2e","",""
"","2273","test_password_field_is_visible","tests.e2e","2026-07-01","passed","2026-07-01","TestLoginPageUI","test_login_e2e","",""
"","592","test_login_endpoint_post_valid_credentials","tests.api","2026-07-01","passed","2026-07-01","TestLoginAPI","test_login_api","",""
"","2455","test_successful_login","tests.e2e","2026-07-01","failed","2026-07-01","TestLoginFlow","test_login_e2e","",""
"","3214","test_invalid_credentials_shows_error","tests.e2e","2026-07-01","passed","2026-07-01","TestLoginValidation","test_login_e2e","",""
